scenario,soc_code,occupation_title,aioe_score,projected_aioe,aioe_increase,tot_emp,annual_median_wage,education_level
Aggressive,31-9011,Massage Therapists,-1.410233,1.1394383813171203,2.54967138131712,96040.0,57950.0,2.734299297342993
Aggressive,29-1123,Physical Therapists,-0.3581922,1.7253489460691938,2.083541146069194,248630.0,101020.0,6.861745454545456
Aggressive,33-3052,Transit and Railroad Police,-0.8205515,1.1849750071802845,2.0055265071802846,3000.0,82320.0,3.4273936242739365
Aggressive,29-1011,Chiropractors,-0.1911757,1.7536438569469814,1.9448195569469815,37630.0,79000.0,7.590909090909091
Aggressive,29-1171,Nurse Practitioners,0.1900572,2.1282370805858095,1.9381798805858095,307390.0,129210.0,6.723354937233551
Aggressive,51-8012,Power Distributors and Dispatchers,0.5012214,2.4353223783652505,1.9341009783652505,9180.0,107240.0,2.8320727272727275
Aggressive,29-1131,Veterinarians,-0.0749958,1.8528975742316134,1.9278933742316133,80630.0,125510.0,8.291927272727273
Aggressive,33-3051,Police and Sheriff's Patrol Officers,-0.6681123,1.2318610439552762,1.8999733439552762,666990.0,76290.0,2.8477454545454544
Aggressive,29-1021,"Dentists, General",-0.1813301,1.6746586761031876,1.8559887761031877,113490.0,172790.0,7.536581818181818
Aggressive,33-1011,First-Line Supervisors/Managers of Correctional Officers,-0.5584278,1.2564889951513991,1.8149167951513991,53390.0,76310.0,2.6081608160816083
Aggressive,25-2059,"Special Education Teachers, All Other",-0.6632917,1.1438950243940547,1.8071867243940547,39350.0,67430.0,5.294327272727273
Aggressive,29-2061,Licensed Practical and Licensed Vocational Nurses,-0.5137373,1.2890216466877353,1.8027589466877352,632430.0,62340.0,3.2058909090909085
Aggressive,39-4011,Embalmers,-0.7311451,1.0380933204047507,1.7692384204047507,3420.0,56280.0,4.008218181818182
Aggressive,29-1161,Nurse Midwives,0.1966265,1.9032778974839908,1.7066513974839908,8280.0,128790.0,6.181827273636455
Aggressive,29-1041,Optometrists,0.5040194,2.2008349786933925,1.6968155786933925,41890.0,134830.0,8.238109090909088
Aggressive,29-9091,Athletic Trainers,-0.3311363,1.359309499893773,1.690445799893773,28950.0,60250.0,5.185745454545454
Aggressive,33-9011,Animal Control Workers,-0.5946321,1.0381912196474445,1.6328233196474446,11790.0,45830.0,2.160072727272727
Aggressive,33-3021,Detectives and Criminal Investigators,0.2257696,1.8539126090310698,1.6281430090310698,110790.0,93580.0,3.9196110691961112
Aggressive,29-1071,Physician Assistants,0.1059147,1.728238295550367,1.622323595550367,155540.0,133260.0,5.433567132902099
Aggressive,43-5051,Postal Service Clerks,-0.5186997,1.0991065512531006,1.6178062512531006,78060.0,61630.0,1.980363636363636
Aggressive,29-2099,"Health Technologists and Technicians, All Other",-0.283854,1.329864223339789,1.613718223339789,174060.0,48790.0,3.4217049659231065
Aggressive,19-4021,Biological Technicians,0.3012355,1.9078722171713318,1.6066367171713318,76190.0,52000.0,5.227345454545453
Aggressive,43-9021,Data Entry Keyers,0.3108081,1.8709747095694735,1.5601666095694735,135280.0,39850.0,2.4093090909090904
Aggressive,53-2011,"Airline Pilots, Copilots, and Flight Engineers",-0.2070626,1.3523095340154176,1.5593721340154176,99300.0,226600.0,3.639299706392997
