soc_code,occupation_title,aioe_score,aioe_zscore,routine_cognitive,social_interpersonal,physical_manual,creative_adaptive,n_activities,education_level,college_required,annual_median_wage,log_wage,wage_percentile
11-1011,Chief Executives,1.334246,1.3342460079686538,0.21440256401695992,0.2949621073014389,0.13431041965746335,0.2325977364537776,82.0,5.707272727272727,0,206420.0,12.237668207119924,99.44608567208272
11-1021,General and Operations Managers,0.5748773,0.5748773073305895,0.22113502935420742,0.2857142857142857,0.15669555493430248,0.22441990494828065,41.0,2.9441454545454544,0,102950.0,11.541998712455936,88.51550960118169
11-2011,Advertising and Promotions Managers,1.294387,1.2943870079351618,0.21733070995245118,0.28758812920150845,0.15191014920478768,0.22962780783735037,41.0,4.059636363636363,0,126960.0,11.751627355200291,94.49778434268833
11-2021,Marketing Managers,1.315032,1.315032007952509,0.20764360363109313,0.30978716912045157,0.12792737813715768,0.24479365321534827,41.0,5.1312727272727265,0,161030.0,11.989345962012042,98.3751846381093
11-2022,Sales Managers,1.26628,1.2662800079115448,0.2077679661138632,0.31193911982195416,0.1388470098355948,0.23009548424151052,41.0,4.668069556680695,0,138060.0,11.835443652257467,96.4549483013294
11-2031,Public Relations Managers,1.293689,1.2936890079345755,,,,,,,0,,,
11-3011,Administrative Services Managers,0.7398278,0.7398278074691901,,,,,,,0,,,
11-3021,Computer and Information Systems Managers,1.059853,1.0598530077380932,0.22341886519696424,0.26830502349114566,0.15229490422840622,0.2344777737621973,41.0,4.309712789460764,0,171200.0,12.050587742689778,99.0768094534712
11-3031,Financial Managers,1.446232,1.4462320080627507,0.24345488848112062,0.2829193911043341,0.12423435763574807,0.2375881942470214,123.0,5.052699517001897,0,161700.0,11.993498045565198,98.63367799113738
11-3051,Industrial Production Managers,0.5086878,0.5086878072749733,0.21801155058558247,0.26259174892432297,0.20719725731115252,0.21513540875727663,246.0,3.6833584103447596,0,121440.0,11.707175592629456,93.16838995568686
11-3061,Purchasing Managers,1.423426,1.4234260080435879,0.22755681818181817,0.29431818181818176,0.13742897727272727,0.2229403409090909,41.0,4.138909090909091,0,139510.0,11.845891562262153,96.78729689807977
11-3071,"Transportation, Storage, and Distribution Managers",0.8907923,0.8907923075960389,0.21439537291584848,0.28469420543396773,0.16501838694705273,0.22389232032560966,82.0,4.948072727272727,0,102010.0,11.532826126676564,88.07237813884787
11-3111,Compensation and Benefits Managers,1.298235,1.2982350079383953,0.24308393586922353,0.30839358692235147,0.12142408047783716,0.2269726501100283,41.0,4.913454545454545,0,140360.0,11.851965829697152,97.15657311669128
11-3121,Human Resources Managers,1.320417,1.3204170079570337,0.2199625182203096,0.31401402096203235,0.12244048032206567,0.23183174845561186,41.0,4.857796038577961,0,140030.0,11.849611964349823,96.93500738552437
11-3131,Training and Development Managers,1.284423,1.2844230079267898,0.22604737179031226,0.30123052848709014,0.12134575716622806,0.23899281598975747,41.0,5.0,0,127090.0,11.752650775876116,94.64549483013293
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1443684,-0.14436839327376128,0.20806350532692708,0.2646055288628925,0.23278323236543413,0.20980433117470926,41.0,,0,87980.0,11.384864794902711,81.20384047267356
